Unnamed: 0,zip_month,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WT08,WT11
2596,56270-May,47.1147058823529,32.0381231671554,0.137313432835821,0.163987138263666,212.695014662757,89.3137829912023,1,1
2597,56270-Jun,40.4151515151515,39.7151515151515,0,0,264.133333333333,148.615151515152,1,1
2598,56270-Jul,35.2316715542522,17.0674486803519,0,0,292.868035190616,169.260997067449,1,1
2599,56270-Aug,32.5689149560117,36.0967741935484,0,0,274.196480938416,154.692082111437,1,1
2600,56270-Sep,39.1969696969697,22.2,0,0,241.512121212121,109.718181818182,1,1
2601,56270-Oct,44.4516129032258,24.6304985337243,0.149560117302053,0,157.369501466276,41.1466275659824,1,0
2602,56270-Nov,47.7507598784195,6.76666666666667,3.25076452599388,7.28134556574924,70.0818181818182,-34.2424242424242,1,1
2603,56270-Dec,45.5718475073314,6.83775811209439,12.2218934911243,115.474926253687,-31.950146627566,-120.492668621701,1,1
2616,01331-Jan,25.6312684365782,20.4897360703812,11.632183908046,133.977695167286,4.28739002932551,-104,1,0
2617,01331-Feb,28.6245954692557,25.6205787781351,20.7265306122449,301.664031620553,15.411575562701,-104.408360128617,1,0
2618,01331-Mar,30.7243401759531,28.4310850439883,7.16104868913858,216.693140794224,67.3255131964809,-49.8621700879765,1,1
2619,01331-Apr,29.1757575757576,27.1575757575758,1.98832684824903,18.3538461538462,146.627272727273,8.6,1,1
2620,01331-May,25.012539184953,26.8357771260997,0,0,214.217008797654,73.0234604105572,1,0
2621,01331-Jun,22.07,41.7727272727273,0,0,250.954545454545,122.584848484848,1,1
2622,01331-Jul,19.9746031746032,29.1818181818182,0,0,283.838709677419,154.785923753666,1,1
2623,01331-Aug,18.0527859237537,29.891495601173,0,0,270.953079178886,138.862170087977,1,1
2624,01331-Sep,18.4090909090909,36.8363636363636,0,0,233.445454545455,99.539393939394,1,0
2625,01331-Oct,21.1091445427729,39.1964809384164,1.32608695652174,2.08658008658009,163.105571847507,39.0967741935484,1,1
2626,01331-Nov,23.0577507598784,22.9393939393939,1.48458149779736,3.01271186440678,94.430303030303,-21.6757575757576,1,0
2627,01331-Dec,24.4968944099379,31.3768545994065,10.753488372093,75.6199095022624,31.4369501466276,-63.7859237536657,1,0
2628,43533-Jan,0,19.301775147929,7.70501474926254,49.6607669616519,0.858823529411765,-92.0504451038576,0,0
2629,43533-Feb,0,22.9870967741935,11.4854368932039,93.4595469255664,12.041935483871,-97.4451612903226,0,0
2630,43533-Mar,0,25.018018018018,4.03903903903904,27.1661341853035,85.2469879518072,-37.021021021021,0,1
2631,43533-Apr,0,31.1930379746835,0.796238244514107,0.59,159.207547169811,19.0503144654088,0,1
2632,43533-May,0,29.2662721893491,0,0,227.394658753709,88.2848664688427,0,1
2633,43533-Jun,0,34.4,0,0,277.984662576687,141.190769230769,0,1
2634,43533-Jul,0,33.8734939759036,0,0,294.217125382263,152.671779141104,0,1
2635,43533-Aug,0,28.8422619047619,0,0,283.785714285714,140.823880597015,0,1
2636,43533-Sep,0,24.3021806853582,0,0,249.658385093168,105.278637770898,0,0
2637,43533-Oct,0,21.6526946107784,0,0,175.059523809524,43.8452380952381,0,0
2638,43533-Nov,0,25.6394557823129,0.667796610169491,1.36949152542373,101.13698630137,-14.9212328767123,0,1
2639,43533-Dec,0,22.1721854304636,5.54901960784314,22.1026490066225,28.546052631579,-55.9473684210526,0,1
2652,30543-Jan,0,43.5863095238095,0.745098039215686,2.34782608695652,108.633846153846,-9.34567901234568,0,0
2653,30543-Feb,0,33.7073954983923,0.62780269058296,0.755952380952381,130.700964630225,-0.482200647249191,0,0
2654,30543-Mar,0,39.3255131964809,0.107758620689655,0,180.956011730205,45.4662756598241,0,0
2655,30543-Apr,0,38.0757575757576,0,0,227.349544072948,86.5379939209726,0,0
2656,30543-May,0,34.078313253012,0,0,264.424920127796,134.801916932907,0,0
2657,30543-Jun,0,29.5878787878788,0,0,311.360269360269,186.989898989899,0,0
2658,30543-Jul,0,37.2258064516129,0,0,312.708737864078,198.126213592233,0,0
