zip,city,state,cws_id,cws_name,cws_dist
36040,HAYNEVILLE,AL,USC00013748,HAYNEVILLE,1305.0
35750,HAZEL GREEN,AL,US1ALMD0006,HAZEL GREEN 1.2 NW,2730.0
36345,HEADLAND,AL,USC00013761,HEADLAND,1389.0
35080,HELENA,AL,USC00013783,HELENA 1 S,366.0
35978,HENAGAR,AL,USC00014115,IDER,10541.0
35979,HIGDON,AL,US1ALDK0017,FLAT ROCK 6.3 ENE,8493.0
36041,HIGHLAND HOME,AL,USC00013818,HIGHLAND HOME #2,381.0
35643,HILLSBORO,AL,US1ALLR0008,HILLSBORO 4.1 SSW,5985.0
35571,HODGES,AL,USC00013899,HODGES,4576.0
35082,HOLLINS,AL,USC00017999,SYLACAUGA 4 NE,11653.0
35083,HOLLY POND,AL,US1ALBL0006,BLOUNTSVILLE 1.3 NW,8751.0
35751,HOLLYTREE,AL,US1ALJC0003,HOLLYTREE 0.6 NNE,1751.0
35752,HOLLYWOOD,AL,US1ALJC0015,SCOTTSBORO 5.2 ENE,2771.0
36042,HONORAVILLE,AL,USW00073802,HIGHLAND HOME 2 S,11103.0
36043,HOPE HULL,AL,USC00013931,HOPE HULL 3S,5474.0
35801,HUNTSVILLE,AL,US1CHARM183,HUNTSVILLE 1.1 SE,760.0
36860,HURTSBORO,AL,USC00014080,HURTSBORO,1897.0
36543,HUXFORD,AL,USC00010402,ATMORE,3713.0
36544,IRVINGTON,AL,US1ALMB0028,THEODORE 3.0 S,5777.0
36545,JACKSON,AL,US1ALCK0005,JACKSON 0.8 S,1036.0
36861,JACKSONS GAP,AL,US1ALTP0005,JACKSONS GAP 3.4 SW,6313.0
36265,JACKSONVILLE,AL,USC00014209,JACKSONVILLE,2610.0
35501,JASPER,AL,USC00014225,JASPER,2226.0
35085,JEMISON,AL,US1ALCH0006,JEMISON 4.3 E,6595.0
36749,JONES,AL,USC00016508,PLANTERSVILLE 2 SSE,2807.0
35087,JOPPA,AL,US1ALBL0021,ARAB 7.0 S,7111.0
35574,KENNEDY,AL,USC00015435,MILLPORT 2 E,5075.0
35645,KILLEN,AL,US1ALLD0006,KILLEN 2.0 ENE,2619.0
35091,KIMBERLY,AL,US1ALJF0010,KIMBERLY 1.0 N,2582.0
36453,KINSTON,AL,USC00014431,KINSTON,4717.0
